,JiaoZiVideoPlayer,BaseRecyclerViewAdapterHelper,fresco,MaterialViewPager,mdanalysis,banner,AppIntro,canal,RxPermissions,jmxtrans,weka-3.8,vlayout,mobile-icon-resizer,motogp,Matisse,axios,Luban,bootstrap,logger,lottie-react-native,javascript,website,graphql-engine,flamingo,JCSprout,CircleImageView,Android-PickerView,android,postgres,entt,insolar,SlidingMenu,istio,ionic,zulip,uCrop,spark,HealthTime,Fragmentation,zipkin,Zilliqa,pip,raiden,yebash,mall,brmo,Android-PullToRefresh,thanos,tinker,epoxy,leakcanary,Android-CleanArchitecture,JDeodorant,LightTable,AndroidSwipeLayout,AndroidViewAnimations,RefactoringMiner,abinit,rasa_core,vue,disruptor,rchain,stetho,docker,FizzBuzzEnterpriseEdition,android-async-http,Aelf,SmartRefreshLayout,ViewPagerIndicator,AndroidSlidingUpPanel,websocketd,Calligraphy,core,ubiquity,flask,kbc-ui,holochain-rust,tetris_project,ZfcUser,iotivity,realm-java,HikariCP,nodejs.org,AnySoftKeyboard,iotjs,synfig,arthas,Signal-Android,Telegram,apollo,redisson,picasso,zxing,marko,kafka,android-fly-in-app-navigation,MaterialDesignLibrary,onnx,zsc,java-design-patterns,GSYVideoPlayer,FileDownloader,alfresco-android-app,Lean,rhino,Android-Universal-Image-Loader,sanitize-html,ant,ARouter,recyclerview-animators,crispy-doom,EventBus,greenDAO,symphony,dspot,react-native-navigation,android-Ultra-Pull-To-Refresh,hydrus,hadoop,FlycoTabLayout,MaterialDrawer,mongo,HomeMirror,Android-ObservableScrollView,storm,spoon,reicast-emulator,core-moos,butterknife,jquery,gson,PhotoView,mybatis-3,rasa_nlu,faster-rcnn.pytorch,javascript-algorithms,datadog-agent,BottomBar,testrepository,grin,kdcproxy,dinghy,fastjson,scikit-learn,jadx,PermissionsDispatcher,AVLoadingIndicatorView,wagtail,druid
druid,0.46,0.68,0.54,0.53,0.48,0.0,0.48,0.54,0.6,0.52,0.53,0.63,0.46,0.56,0.56,0.45,0.53,0.51,0.48,0.49,0.59,0.53,0.57,0.4,0.45,0.58,0.47,0.51,0.0,0.57,0.33,0.58,0.5,0.38,0.47,0.64,0.64,0.61,0.67,0.5,0.48,0.56,0.42,0.45,1.0,0.41,0.0,0.41,0.52,0.5,0.5,0.63,0.57,0.55,0.59,0.56,0.46,0.55,0.47,0.49,0.57,0.46,0.58,0.35,0.51,0.6,0.26,0.59,0.58,0.53,0.41,0.59,0.55,0.38,0.59,0.26,0.31,0.55,0.52,0.53,0.57,0.48,0.53,0.39,0.53,0.46,0.49,0.53,0.66,0.42,0.39,0.59,0.53,0.44,0.49,0.57,0.55,0.51,0.75,0.53,0.53,0.46,0.52,0.46,0.53,0.51,0.47,0.49,0.43,0.49,0.5,0.66,0.62,0.38,0.34,0.48,0.0,0.53,0.0,0.42,0.37,0.47,0.44,0.41,0.45,0.62,0.56,0.54,0.62,0.57,0.53,0.45,0.52,0.46,0.54,0.52,0.4,0.56,0.5,0.5,0.6,0.5,0.51,0.52,0.36,0.52,0.44,0.5,
dspot,0.47,0.43,0.46,0.42,0.49,0.0,0.5,0.58,0.43,0.49,0.51,0.5,0.53,0.34,0.55,0.45,0.51,0.45,0.49,0.47,0.48,0.39,0.55,0.49,0.45,0.58,0.35,0.48,0.0,0.5,0.3,0.45,0.46,0.41,0.46,0.5,0.64,0.53,0.41,0.45,0.45,0.47,0.44,0.43,1.0,0.42,0.0,0.48,0.48,0.46,0.55,0.61,0.44,0.51,0.48,0.41,0.44,0.47,0.38,0.44,0.52,0.43,0.51,0.21,0.39,0.47,0.25,0.55,0.38,0.45,0.47,0.54,0.33,0.43,0.48,0.54,0.44,0.58,0.52,0.51,0.5,0.46,0.5,0.4,0.49,0.45,0.37,0.47,0.53,0.4,0.41,0.54,0.51,0.39,0.46,0.37,0.5,0.51,0.65,0.48,0.5,0.46,0.44,0.45,0.47,0.46,0.39,0.5,0.47,0.41,0.46,0.56,0.56,0.44,,0.47,0.0,0.49,0.0,0.43,0.5,0.5,0.51,0.47,0.39,0.52,0.5,0.5,0.52,0.56,0.43,0.41,0.47,0.47,0.46,0.43,0.48,0.41,0.39,0.45,0.46,0.44,0.46,0.48,0.53,0.5,0.37,0.46,0.52
entt,0.33,0.59,0.55,0.45,0.39,0.0,0.48,0.37,0.54,0.49,0.45,0.37,0.51,0.45,0.56,0.57,0.49,0.4,0.48,0.5,0.56,0.46,0.48,0.3,0.45,0.62,0.6,0.42,0.0,,0.29,0.45,0.43,0.34,0.41,0.46,0.5,0.4,0.47,0.48,0.34,0.49,0.34,0.42,1.0,0.36,0.0,0.49,0.43,0.49,0.5,0.58,0.33,0.49,0.42,0.54,0.49,0.41,0.44,0.47,0.59,0.41,0.56,0.42,0.46,0.5,0.28,0.95,0.59,0.55,0.48,0.55,0.54,0.34,0.55,0.2,0.31,0.58,0.57,0.46,0.43,0.47,0.57,0.36,0.48,0.37,0.5,0.46,0.48,0.36,0.31,0.56,0.52,0.44,0.51,0.57,0.45,0.54,0.74,0.53,0.43,0.38,0.35,0.45,0.38,0.52,0.5,0.52,0.38,0.52,0.4,0.62,0.59,0.29,0.3,0.44,0.0,0.44,0.0,0.4,0.33,0.52,0.57,0.38,0.49,0.41,0.45,0.42,0.6,0.32,0.48,0.44,0.42,0.45,0.62,0.53,0.42,0.46,0.46,0.43,0.5,0.55,0.4,0.47,0.33,0.48,0.4,0.49,0.43
epoxy,0.46,0.23,0.42,0.23,0.45,0.0,0.53,0.37,0.36,0.34,0.35,0.25,0.4,0.35,0.32,0.36,0.41,0.44,0.36,0.41,0.53,0.38,0.42,0.51,0.38,0.55,0.39,0.39,0.0,0.51,0.3,0.38,0.51,0.44,0.5,0.29,0.64,0.45,0.35,0.48,0.31,0.43,0.38,0.42,1.0,0.48,0.0,0.46,0.38,,0.38,0.45,0.32,0.31,0.42,0.36,0.42,0.38,0.32,0.38,0.51,0.39,0.23,0.52,0.37,0.26,0.27,0.52,0.45,0.3,0.41,0.31,0.35,0.33,0.34,0.28,0.3,0.61,0.38,0.4,0.4,0.55,0.4,0.47,0.44,0.39,0.34,0.33,0.31,0.33,0.4,0.3,0.47,0.48,0.49,0.44,0.59,0.4,0.77,0.45,0.36,0.34,0.39,0.49,0.38,0.45,0.45,0.49,0.31,0.41,0.4,0.58,0.57,0.35,0.44,0.46,0.0,0.41,0.0,0.29,0.33,0.49,0.47,0.39,0.42,0.25,0.39,0.3,0.44,0.32,0.39,0.36,0.4,0.37,0.44,0.39,0.46,0.38,0.41,0.48,0.19,0.45,0.37,0.43,0.37,0.44,0.48,0.43,0.35
faster-rcnn.pytorch,0.38,0.61,0.55,0.51,0.4,0.0,0.52,0.53,0.57,0.54,0.47,0.61,0.48,0.59,0.67,0.56,0.56,0.45,0.54,0.53,0.55,0.51,0.54,0.29,0.45,0.7,0.63,0.48,0.0,0.58,0.34,0.52,0.44,0.36,0.45,0.55,0.64,0.61,0.56,0.48,0.36,0.51,0.37,0.47,1.0,0.38,0.0,0.5,0.49,0.52,0.5,0.66,0.33,0.54,0.51,0.61,0.47,0.45,0.49,0.5,0.59,0.43,0.6,0.56,0.58,0.57,0.29,0.79,0.61,0.53,0.44,0.54,0.54,0.35,0.58,0.21,0.35,0.51,0.57,0.49,0.5,0.48,0.54,0.38,0.51,0.39,0.55,0.47,0.66,0.4,0.31,0.61,0.52,0.46,0.52,0.61,0.54,0.53,0.75,0.57,0.44,0.4,0.36,0.45,0.38,0.52,0.56,0.54,0.44,0.53,0.41,0.67,0.62,0.3,0.27,0.46,0.0,0.5,0.0,0.33,0.33,0.52,0.57,0.34,0.5,0.45,0.49,0.44,0.63,0.39,0.48,0.44,0.48,0.49,,0.56,0.44,0.54,0.49,0.52,0.65,0.55,0.46,0.47,0.38,0.52,0.4,0.51,0.46
fastjson,0.41,0.68,0.53,0.53,0.51,0.0,0.45,0.63,0.53,0.49,0.52,0.61,0.43,0.5,0.6,0.52,0.53,0.53,0.47,0.53,0.44,0.52,0.55,0.38,0.47,0.49,0.42,0.53,0.0,0.5,0.32,0.59,0.5,0.43,0.48,0.62,0.5,0.55,0.74,0.46,0.53,0.55,0.5,0.5,1.0,0.43,0.0,0.5,0.51,0.46,0.55,0.6,0.45,0.55,0.53,0.54,0.43,0.55,0.5,0.49,0.6,0.52,0.6,0.46,0.54,0.59,0.25,0.6,0.57,0.54,0.46,0.55,0.54,0.36,0.56,0.52,0.31,0.47,0.57,0.52,0.56,0.51,0.51,0.39,0.53,0.45,0.52,0.5,0.67,0.5,0.34,0.57,0.52,0.46,0.41,0.57,0.31,0.5,0.74,0.53,0.53,0.44,0.46,0.49,0.53,0.51,0.42,0.49,0.42,0.5,0.52,0.6,0.62,0.51,0.32,0.49,0.0,0.5,0.0,0.43,0.43,0.48,0.59,0.35,0.51,0.6,0.52,0.55,0.64,0.6,0.46,0.51,0.51,0.47,0.62,0.52,0.46,0.56,0.45,0.5,0.67,0.53,,0.51,0.53,0.52,0.41,0.51,0.56
flamingo,0.51,0.56,0.49,0.43,0.48,0.0,0.42,0.37,0.28,0.4,0.54,0.57,0.42,0.32,0.42,0.39,0.5,0.47,0.36,0.46,0.55,0.4,0.35,,0.43,0.6,0.48,0.48,0.0,0.6,0.28,0.53,0.36,0.45,0.51,0.51,0.64,0.14,0.52,0.55,0.43,0.47,0.46,0.42,1.0,0.52,0.0,0.33,0.44,0.42,0.44,0.53,0.45,0.41,0.57,0.36,0.52,0.53,0.43,0.42,0.6,0.41,0.43,0.12,0.34,0.42,0.26,0.55,0.56,0.59,0.5,0.38,0.45,0.34,0.48,0.44,0.3,0.61,0.44,0.5,0.46,0.54,0.45,0.44,0.42,0.53,0.36,0.45,0.52,0.4,0.52,0.5,0.49,0.44,0.48,0.37,0.27,0.49,0.82,0.44,0.43,0.5,0.4,0.54,0.52,0.47,0.41,0.52,0.46,0.38,0.46,0.62,0.59,0.49,0.23,0.43,0.0,0.35,0.0,0.25,0.47,0.51,0.5,0.3,0.46,0.54,0.5,0.51,0.47,0.46,0.48,0.52,0.48,0.35,0.6,0.33,0.45,0.48,0.52,0.4,0.5,0.42,0.55,0.51,0.59,0.43,0.33,0.51,0.55
flask,0.4,0.7,0.52,0.49,0.5,0.0,0.47,0.65,0.62,0.51,0.56,0.65,0.4,0.61,0.58,0.47,0.57,0.54,0.49,0.48,0.52,0.51,0.48,0.37,0.46,0.49,0.5,0.53,0.0,0.48,0.33,0.56,0.54,0.41,0.49,0.61,0.64,0.68,0.77,0.44,0.5,0.59,0.42,0.5,1.0,0.44,0.0,0.52,0.54,0.55,0.58,0.61,0.53,0.55,0.5,0.6,0.43,0.56,0.48,0.49,0.61,0.5,0.58,0.6,0.43,0.6,0.29,0.81,0.6,0.53,0.35,0.6,0.56,0.41,,0.23,0.32,0.42,0.54,0.53,0.55,0.48,0.46,0.39,0.5,0.45,0.55,0.53,0.65,0.42,0.34,0.6,0.53,0.48,0.43,0.45,0.58,0.47,0.74,0.55,0.57,0.41,0.52,0.51,0.54,0.52,0.47,0.54,0.41,0.53,0.46,0.66,0.62,0.33,0.32,0.5,0.0,0.54,0.0,0.43,0.34,0.49,0.58,0.36,0.5,0.61,0.56,0.51,0.64,0.59,0.52,0.51,0.51,0.48,0.65,0.56,0.51,0.57,0.49,0.54,0.59,0.57,0.48,0.53,0.37,0.55,0.5,0.53,0.49
fresco,0.29,0.34,,0.41,0.33,0.0,0.49,0.37,0.45,0.49,0.48,0.3,0.58,0.28,0.67,0.59,0.52,0.33,0.48,0.54,0.52,0.45,0.47,0.29,0.43,0.7,0.54,0.37,0.0,0.53,0.25,0.37,0.36,0.3,0.37,0.52,0.64,0.14,0.4,0.45,0.26,0.44,0.32,0.42,1.0,0.34,0.0,0.43,0.42,0.52,0.47,0.65,0.32,0.44,0.45,0.61,0.48,0.33,0.35,0.45,0.6,0.37,0.57,0.15,0.5,0.44,0.23,0.58,0.49,0.39,0.51,0.51,0.43,0.32,0.52,0.2,0.28,0.61,0.55,0.37,0.38,0.46,0.53,0.36,0.48,0.38,0.47,0.43,0.17,0.37,0.27,0.51,0.52,0.42,0.51,0.67,0.4,0.39,0.75,0.52,0.44,0.35,0.37,0.44,0.37,0.5,0.45,0.52,0.42,0.51,0.36,0.65,0.62,0.27,0.24,0.41,0.0,0.41,0.0,0.33,0.29,0.51,0.62,0.31,0.46,0.37,0.43,0.42,0.55,0.26,0.47,0.41,0.48,0.35,0.6,0.51,0.39,0.41,0.53,0.38,0.52,0.51,0.39,0.4,0.33,0.46,0.34,0.48,0.36
graphql-engine,0.49,0.67,0.44,0.45,0.49,0.0,0.45,0.71,0.47,0.51,0.5,0.56,0.38,0.54,0.5,0.51,0.51,0.5,0.49,0.51,0.43,0.49,,0.36,0.49,0.4,0.33,0.43,0.0,0.41,0.31,0.42,0.48,0.39,0.44,0.54,0.5,0.43,0.43,0.45,0.48,0.43,0.45,0.48,1.0,0.41,0.0,0.49,0.41,0.4,0.55,0.54,0.49,0.52,0.51,0.43,0.45,0.49,0.44,0.46,0.5,0.48,0.52,0.46,0.41,0.48,0.34,0.47,0.42,0.39,0.53,0.45,0.49,0.44,0.53,0.5,0.43,0.55,0.49,0.52,0.48,0.42,0.49,0.48,0.54,0.51,0.48,0.48,0.75,0.49,0.5,0.53,0.47,0.44,0.45,0.4,0.42,0.48,0.75,0.51,0.54,0.48,0.46,0.45,0.47,0.44,0.4,0.48,0.4,0.45,0.47,0.58,0.58,0.43,0.52,0.48,0.0,0.5,0.0,0.56,0.39,0.41,0.42,0.55,0.39,0.52,0.39,0.5,0.47,0.58,0.48,0.49,0.46,0.5,0.44,0.55,0.47,0.44,0.42,0.48,0.37,0.4,0.56,0.47,0.51,0.45,0.48,0.43,0.51
greenDAO,0.52,0.61,0.51,0.51,0.51,0.0,0.48,0.73,0.41,0.5,0.44,0.57,0.27,0.6,0.58,0.39,0.4,0.54,0.52,0.37,0.38,0.48,0.56,0.47,0.55,0.57,0.33,0.49,0.0,0.39,0.47,0.51,0.5,0.46,0.47,0.55,0.5,0.5,0.42,0.45,0.51,0.52,0.5,0.4,1.0,0.48,0.0,0.45,0.51,0.4,0.55,0.58,0.45,0.48,0.47,0.36,0.4,0.48,0.48,0.52,0.47,0.46,0.6,0.45,0.49,0.56,0.48,0.28,0.4,0.48,0.4,0.45,0.46,0.45,0.58,0.54,0.43,0.21,0.51,0.49,0.51,0.5,0.46,0.43,0.46,0.47,0.52,0.53,0.69,0.49,0.42,0.53,0.52,0.43,0.42,0.52,0.5,0.5,0.58,0.52,0.53,0.54,0.44,0.49,0.52,0.52,0.4,0.43,0.53,0.45,0.51,0.47,,0.43,0.55,0.48,0.0,0.44,0.0,0.43,0.49,0.41,0.42,0.47,0.52,0.59,0.5,0.51,0.49,0.61,0.47,0.48,0.46,0.51,0.43,0.43,0.43,0.47,0.38,0.48,0.54,0.37,0.48,0.51,0.58,0.51,0.5,0.52,0.55
grin,0.37,0.74,0.53,0.46,0.5,0.0,0.49,0.59,0.6,0.54,0.53,0.64,0.49,0.55,0.66,0.53,0.55,0.5,0.54,0.56,0.56,0.54,0.55,0.37,0.45,0.61,0.54,0.52,0.0,0.55,0.28,0.57,0.55,0.38,0.49,0.59,0.64,0.5,0.69,0.5,0.43,0.58,0.41,0.46,1.0,0.44,0.0,0.53,0.56,0.56,0.55,0.58,0.54,0.55,0.69,0.57,0.46,0.56,0.46,0.49,0.62,0.45,0.58,0.5,0.52,0.57,0.26,0.81,0.58,0.6,0.49,0.59,0.58,0.36,0.59,0.22,0.3,0.51,0.61,0.54,0.56,0.49,0.56,0.39,0.53,0.45,0.48,0.5,0.64,0.41,0.33,0.64,0.52,0.48,0.43,0.61,0.56,0.54,0.74,0.52,0.54,0.41,0.48,0.5,0.56,0.52,0.51,0.55,0.48,0.48,0.47,0.69,0.63,0.35,0.31,0.48,0.0,0.47,0.0,0.5,0.34,0.5,0.63,0.41,0.49,0.59,0.54,0.5,0.63,0.57,0.53,0.52,0.5,0.47,0.61,0.56,0.51,0.49,0.54,,0.65,0.54,0.47,0.53,0.37,0.55,0.41,0.52,0.5
gson,0.38,0.69,0.54,0.49,0.5,0.0,0.48,0.57,0.52,0.53,0.53,0.67,0.42,0.62,0.62,0.47,0.49,0.52,0.55,0.55,0.53,0.53,0.52,0.36,0.46,0.68,0.45,0.5,0.0,0.5,0.29,0.55,0.52,0.37,0.48,0.64,0.64,0.55,0.72,0.49,0.46,0.56,0.42,0.48,1.0,0.43,0.0,0.52,0.56,0.47,0.51,0.62,0.47,0.54,0.7,0.58,0.46,0.56,0.47,0.49,0.59,0.47,0.61,0.43,0.51,0.59,0.24,0.81,0.6,0.55,0.52,0.57,0.57,0.34,0.58,0.25,0.3,0.53,0.63,0.55,0.5,0.48,0.52,0.39,0.56,0.45,0.49,0.52,0.66,0.41,0.31,0.63,0.52,0.45,0.46,0.59,0.5,0.52,0.74,0.53,0.51,0.4,0.51,0.48,0.55,0.5,0.51,0.43,0.45,0.47,0.5,0.72,0.65,0.39,0.3,0.47,0.0,0.5,0.0,0.41,0.38,0.5,0.6,0.36,0.49,0.62,0.55,0.52,0.63,0.58,,0.52,0.47,0.46,0.64,0.51,0.43,0.49,0.5,0.53,0.67,0.54,0.48,0.52,0.33,0.48,0.45,0.51,0.53
holochain-rust,0.52,0.14,0.45,0.31,0.47,0.0,0.36,0.25,0.35,0.31,0.37,0.26,0.4,0.22,0.24,0.32,0.38,0.49,0.33,0.34,0.52,0.27,0.26,0.47,0.39,0.48,0.39,0.48,0.0,0.54,0.49,0.49,0.33,0.52,0.46,0.25,0.5,0.14,0.41,0.49,0.51,0.41,0.5,0.47,0.83,0.48,0.0,0.31,0.31,0.44,0.25,0.51,0.53,0.28,0.32,0.33,0.45,0.47,0.45,0.46,0.51,0.45,0.19,0.12,0.29,0.26,0.55,0.52,0.46,0.33,0.45,0.4,0.38,0.48,0.39,0.56,,0.61,0.26,0.31,0.41,0.39,0.32,0.43,0.34,0.49,0.3,0.39,0.19,0.4,0.49,0.3,0.49,0.4,0.53,0.29,0.16,0.25,0.1,0.42,0.33,0.52,0.41,0.47,0.47,0.54,0.4,0.5,0.46,0.33,0.47,0.56,0.61,0.46,0.33,0.47,0.0,0.31,0.0,0.33,0.45,0.53,0.44,0.31,0.46,0.25,0.41,0.46,0.38,0.47,0.44,0.37,0.43,0.44,0.42,0.4,0.38,0.4,0.42,0.43,0.19,0.41,0.47,0.46,0.42,0.38,0.25,0.45,0.47
hydrus,0.42,0.69,0.52,0.49,0.47,0.0,0.48,0.2,0.58,0.53,0.46,0.57,0.42,0.6,0.62,0.5,0.49,0.49,0.5,0.54,0.46,0.51,0.42,0.29,0.43,0.63,0.56,0.52,0.0,0.5,0.33,0.55,0.48,0.38,0.48,0.53,0.64,0.58,0.39,0.49,0.47,0.43,0.39,0.46,1.0,0.4,0.0,0.5,0.5,0.47,0.55,0.57,0.42,0.51,0.5,0.53,0.46,0.53,0.5,0.44,0.56,0.47,0.57,0.59,0.58,0.56,0.29,0.65,0.55,0.62,0.45,0.54,0.52,0.38,0.49,0.21,0.32,0.35,0.5,0.47,0.55,0.48,0.5,0.38,0.45,0.41,0.45,0.47,0.69,0.4,0.32,0.45,0.48,0.45,0.5,0.47,0.56,0.54,0.75,0.49,0.52,0.39,0.45,0.42,0.52,0.52,0.5,0.54,0.44,0.47,0.41,0.64,0.61,0.3,0.22,0.44,0.0,,0.0,0.43,0.33,0.5,0.46,0.34,0.43,0.55,0.54,0.44,0.52,0.54,0.45,0.43,0.42,0.48,0.52,0.53,0.39,0.52,0.45,0.47,0.51,0.46,0.4,0.51,0.38,0.49,0.47,0.41,0.48
insolar,0.6,0.65,0.49,0.49,0.51,0.0,0.48,0.53,0.5,0.51,0.45,0.64,0.3,0.56,0.39,0.46,0.39,0.56,0.46,0.47,0.49,0.52,0.53,0.47,0.46,0.4,0.53,0.51,0.0,0.42,,0.56,0.53,0.44,0.48,0.47,0.5,0.58,0.56,0.39,0.56,0.49,0.51,0.49,1.0,0.47,0.0,0.51,0.54,0.48,0.46,0.5,0.55,0.52,0.5,0.43,0.44,0.54,0.51,0.45,0.49,0.49,0.41,0.7,0.54,0.55,0.49,0.59,0.49,0.56,0.51,0.49,0.54,0.45,0.5,0.42,0.43,0.29,0.44,0.53,0.52,0.46,0.47,0.48,0.51,0.5,0.46,0.44,0.67,0.5,0.43,0.49,0.5,0.45,0.53,0.36,0.51,0.53,0.81,0.5,0.52,0.55,0.53,0.48,0.51,0.57,0.49,0.49,0.41,0.51,0.51,0.54,0.6,0.47,0.48,0.51,0.0,0.48,0.0,0.75,0.55,0.48,0.38,0.47,0.5,0.51,0.5,0.5,0.49,0.59,0.47,0.55,0.43,0.52,0.45,0.47,0.5,0.53,0.46,0.5,0.46,0.47,0.53,0.5,0.44,0.5,0.6,0.48,0.51
ionic,0.44,0.49,0.45,0.46,0.43,0.0,0.48,0.53,0.42,0.47,0.44,0.52,0.49,0.4,0.49,0.51,0.45,0.48,0.38,0.5,0.49,0.42,0.43,0.49,0.5,0.63,0.38,0.44,0.0,0.46,0.29,0.4,0.43,,0.48,0.53,0.64,0.39,0.4,0.51,0.41,0.48,0.39,0.42,0.67,0.46,0.0,0.44,0.47,0.43,0.53,0.56,0.41,0.47,0.48,0.57,0.46,0.43,0.46,0.47,0.51,0.43,0.58,0.51,0.45,0.45,0.43,0.55,0.48,0.32,0.45,0.46,0.43,0.45,0.5,0.49,0.42,0.42,0.51,0.5,0.43,0.46,0.5,0.42,0.45,0.44,0.52,0.47,0.57,0.49,0.46,0.49,0.42,0.44,0.32,0.61,0.44,0.4,0.75,0.5,0.47,0.39,0.41,0.49,0.47,0.45,0.4,0.5,0.46,0.48,0.47,0.53,0.59,0.43,0.38,0.4,0.0,0.44,0.0,0.33,0.44,0.48,0.49,0.51,0.41,0.58,0.46,0.52,0.42,0.3,0.45,0.42,0.5,0.45,0.44,0.47,0.46,0.42,0.45,0.4,0.49,0.45,0.51,0.43,0.46,0.46,0.42,0.46,0.48
iotivity,0.39,0.69,0.55,0.45,0.52,0.0,0.5,0.64,0.5,0.54,0.57,0.6,0.61,0.34,0.63,0.57,0.64,0.51,0.41,0.55,0.56,0.5,0.5,0.54,0.55,0.59,0.48,0.54,0.0,0.6,0.27,0.53,0.44,0.37,0.49,0.61,0.64,0.14,0.64,0.54,0.42,0.56,0.41,0.42,1.0,0.52,0.0,0.47,0.54,0.46,0.59,0.61,0.56,0.56,0.68,0.58,0.49,0.54,0.43,0.47,0.63,0.44,0.59,0.1,0.39,0.55,0.25,0.6,0.55,0.55,0.52,0.58,0.54,0.39,0.58,0.34,0.29,0.61,0.54,,0.55,0.5,0.57,0.5,0.53,0.51,0.52,0.56,0.53,0.47,0.43,0.59,0.52,0.48,0.48,0.6,0.33,0.54,0.75,0.51,0.52,0.47,0.44,0.55,0.55,0.51,0.48,0.53,0.51,0.49,0.55,0.61,0.61,0.4,0.38,0.45,0.0,0.41,0.0,0.33,0.4,0.52,0.67,0.49,0.5,0.56,0.56,0.53,0.61,0.57,0.55,0.5,0.56,0.42,0.61,0.51,0.46,0.49,0.55,0.47,0.6,0.55,0.54,0.53,0.51,0.52,0.39,0.55,0.56
iotjs,0.47,0.74,0.57,0.54,0.52,0.0,0.51,0.6,0.61,0.57,0.54,0.67,0.44,0.64,0.66,0.57,0.55,0.57,0.5,0.6,0.57,0.54,0.62,0.42,0.44,0.63,0.66,0.56,0.0,0.52,0.35,0.6,0.51,0.39,0.49,0.65,0.64,0.6,0.79,0.47,0.49,0.57,0.43,0.52,1.0,0.46,0.0,0.52,0.61,0.48,0.54,0.54,0.55,0.56,0.71,0.51,0.49,0.58,0.51,0.47,0.59,0.52,0.55,0.62,0.59,0.63,0.3,0.86,0.62,0.63,0.61,0.57,0.59,0.4,0.58,0.21,0.34,0.51,0.57,0.58,0.59,0.49,0.57,0.4,,0.46,0.53,0.49,0.73,0.42,0.33,0.64,0.51,0.46,0.52,0.46,0.46,0.56,0.76,0.53,0.55,0.43,0.5,0.53,0.55,0.56,0.61,0.55,0.45,0.49,0.47,0.7,0.65,0.33,0.29,0.47,0.0,0.55,0.0,0.82,0.35,0.51,0.58,0.43,0.49,0.56,0.55,0.53,0.67,0.6,0.49,0.59,0.45,0.49,0.68,0.52,0.47,0.57,0.51,0.54,0.69,0.56,0.43,0.53,0.34,0.61,0.57,0.5,0.45
istio,0.34,0.6,0.51,0.45,0.45,0.0,0.5,0.52,0.46,0.48,0.49,0.51,0.4,0.52,0.59,0.44,0.53,0.45,0.5,0.51,0.51,0.38,0.5,0.37,0.43,0.57,0.43,0.42,0.0,0.5,0.27,0.47,,0.37,0.36,0.49,0.64,0.23,0.41,0.45,0.34,0.52,0.36,0.42,1.0,0.41,0.0,0.39,0.48,0.49,0.52,0.53,0.42,0.33,0.46,0.4,0.42,0.42,0.4,0.49,0.52,0.37,0.53,0.61,0.47,0.46,0.27,0.74,0.54,0.48,0.45,0.47,0.56,0.36,0.54,0.23,0.29,0.59,0.5,0.49,0.47,0.49,0.51,0.38,0.5,0.41,0.45,0.46,0.61,0.43,0.31,0.56,0.51,0.48,0.46,0.42,0.54,0.52,0.74,0.49,0.47,0.4,0.38,0.47,0.43,0.48,0.44,0.48,0.46,0.5,0.42,0.61,0.59,0.32,0.39,0.48,0.0,0.4,0.0,0.33,0.37,0.48,0.47,0.37,0.47,0.5,0.44,0.45,0.53,0.47,0.43,0.48,0.47,0.42,0.54,0.49,0.48,0.45,0.42,0.44,0.53,0.45,0.44,0.48,0.38,0.48,0.43,0.51,0.48
jadx,0.35,0.72,0.47,0.52,0.49,0.0,0.49,0.69,0.61,0.52,0.56,0.66,0.49,0.61,0.58,0.46,0.53,0.54,0.48,0.5,0.42,0.53,0.48,0.42,0.47,0.63,0.42,0.47,0.0,0.37,0.46,0.61,0.49,0.43,0.47,0.66,0.64,0.66,0.67,0.48,0.54,0.54,0.47,0.51,1.0,0.5,0.0,0.53,0.53,0.42,0.46,0.59,0.41,0.55,0.65,0.57,0.41,0.46,0.51,0.5,0.58,0.5,0.6,0.3,0.4,0.58,0.33,0.52,0.52,0.63,0.48,0.54,0.54,0.44,0.51,0.53,0.42,0.49,0.5,0.54,0.44,0.51,0.49,0.44,0.48,0.48,0.53,0.49,0.65,0.52,0.38,0.56,0.51,0.43,0.47,0.49,0.56,0.53,0.74,0.51,0.55,0.54,0.47,0.53,0.52,0.5,0.52,0.44,0.46,0.47,0.49,0.59,0.63,0.47,0.53,0.46,0.0,0.53,0.0,0.55,0.43,0.44,0.44,0.48,0.52,0.44,0.5,0.52,0.54,0.6,0.49,0.52,0.47,0.49,0.54,0.48,0.5,0.53,0.45,0.52,0.71,0.46,0.52,0.45,,0.47,0.6,0.52,0.57
